time,min(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2')),mean(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2')),max(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2'))
0.0,0.0,0.0,0.0
25.0,0.0,4.582682660850598,3519.76
50.0,0.0,16.54641948382407,8557.220000000001
75.0,0.0,38.474053071610314,13418.36
100.0,0.0,68.4160414394765,16630.04
125.0,0.0,103.30943656852057,22006.579999999998
150.0,0.0,143.47600508905862,27144.639999999992
175.0,0.0,190.1046637586333,31407.51999999999
200.0,0.0,243.66741185023665,37569.7
225.0,0.0,304.4715557978922,43596.740000000005
250.0,0.0,370.5531188658679,47856.200000000004
275.0,0.0,444.1899927299151,54022.14000000001
300.0,0.0,521.5305561613943,59837.36000000001
325.0,0.0,602.4060668847666,67654.76
350.0,0.0,691.4592693565944,74898.11999999997
375.0,0.0,782.7910468920372,80691.55999999997
400.0,0.0,876.1762268266064,88849.93999999996
425.0,0.0,972.8132242820772,91921.75999999995
450.0,0.0,1075.2969829153012,104581.17999999995
475.0,0.0,1179.8533006179543,108518.11999999995
500.0,0.0,1287.6276699382024,115654.15999999995
525.0,0.0,1396.4130243547775,126704.23999999993
550.0,0.0,1512.5338495092658,134617.0599999999
575.0,0.0,1633.4084732824508,141378.5599999999
600.0,0.0,1762.5060050890716,157290.63999999996
625.0,0.0,1894.206139585621,166648.97999999998
650.0,0.0,2028.5353653217162,175267.58
675.0,0.0,2167.699138495109,184909.24
700.0,0.0,2305.478611414046,190793.99999999997
725.0,0.0,2443.2623446019793,198106.91999999998
750.0,0.0,2581.334816430408,207656.75999999995
775.0,0.0,2723.4979789167764,217608.73999999993
800.0,0.0,2868.1711959287677,221586.3599999999
825.0,0.0,3016.010483460575,229446.27999999988
850.0,0.0,3168.3756197746507,240651.17999999985
875.0,0.0,3324.4175572519293,245415.07999999984
900.0,0.0,3481.080570701582,268438.4599999998
925.0,0.0,3639.0634678298975,280778.47999999975
950.0,0.0,3802.9116175936197,285627.3199999997
975.0,0.0,3967.3069320247437,297678.05999999965
1000.0,0.0,4136.481035986942,316412.5799999997
1025.0,0.0,4308.602617230123,326316.5599999997
1050.0,0.0,4483.73589240279,336056.2199999996
1075.0,0.0,4661.771781170509,342774.63999999966
1100.0,0.0,4833.190214467492,354228.4599999997
1125.0,0.0,5003.638771355895,365970.87999999966
1150.0,0.0,5175.576245001849,376910.6799999995
1175.0,0.0,5347.815517993491,384175.5399999995
1200.0,0.0,5514.645009087637,389036.39999999956
1225.0,0.0,5681.214449291205,398960.0799999995
1250.0,0.0,5849.558418756854,407440.4599999998
1275.0,0.0,6019.111523082556,417271.1999999995
1300.0,0.0,6185.310065430771,421660.85999999946
1325.0,0.0,6350.197619047619,430497.8199999994
1350.0,0.0,6521.828898582306,441832.25999999937
1375.0,0.0,6697.990905125376,457218.17999999935
1400.0,0.0,6878.467161032326,469281.7399999993
1425.0,0.0,7062.893885859659,477669.8199999993
1450.0,0.0,7250.859102144635,488274.6999999992
1475.0,0.0,7437.897855325293,501604.8799999991
1500.0,0.0,7625.509105779672,507629.11999999906
1525.0,0.0,7812.257161032319,518430.89999999903
1550.0,0.0,7992.879171210439,535287.5599999991
1575.0,0.0,8171.617277353647,545087.6999999993
1600.0,0.0,8343.6888549618,552217.3599999994
1625.0,0.0,8512.835052708073,559050.7599999995
1650.0,0.0,8678.026761177727,567681.3399999996
1675.0,0.0,8844.876612141015,581600.4799999996
1700.0,0.0,9014.90014903669,589789.1599999996
1725.0,0.0,9189.01844420208,599921.2199999994
1750.0,0.0,9359.260996001427,610966.9999999995
1775.0,0.0,9528.443413304212,621426.0799999996
1800.0,0.0,9697.320316248608,632716.1999999997
1825.0,0.0,9865.978625954174,641031.6999999997
1850.0,0.0,10033.475772446373,654022.9599999997
1875.0,0.0,10196.251813885843,661945.48
1900.0,0.0,10358.440385314418,665294.9
1925.0,0.0,10521.158753180662,677279.360000001
1950.0,0.0,10686.291988367857,686134.1000000001
1975.0,0.0,10852.02278444201,697933.7800000005
2000.0,0.0,11017.90831697563,705094.8000000006
2025.0,0.0,11183.00862595419,713675.1600000014
2050.0,0.0,11346.25858596872,720559.0400000009
2075.0,0.0,11509.631323155201,732034.2000000011
2100.0,0.0,11670.924525627033,739860.7200000011
2125.0,0.0,11826.869040348949,749205.4600000017
2150.0,0.0,11983.583478734974,758006.6400000016
2175.0,0.0,12143.915932388192,772768.6800000018
2200.0,0.0,12307.622021083262,783183.0400000018
2225.0,0.0,12474.32878589605,795561.000000002
2250.0,0.0,12643.075619774587,809525.2800000018
2275.0,0.0,12810.98405307156,819205.0200000018
2300.0,0.0,12977.40290439835,828365.9800000017
2325.0,0.0,13150.045241730231,842211.7200000018
2350.0,0.0,13321.79225372588,852414.2800000018
2375.0,0.0,13500.29487095598,864102.6800000018
2400.0,0.0,13677.9774045801,876629.8800000016
2425.0,0.0,13850.595667030117,884974.5600000019
2450.0,0.0,14018.40224645578,900715.9000000019
2475.0,0.0,14189.858655034466,906026.780000002
2500.0,0.0,14362.806110505217,918098.300000002
2525.0,0.0,14537.936074154799,924056.4800000023
2550.0,0.0,14713.93628498722,936051.3600000023
2575.0,0.0,14892.900323518668,948083.4000000022
2600.0,0.0,15072.195016357662,964855.0000000021
2625.0,0.0,15247.027284623748,970046.120000002
2650.0,0.0,15428.001603053415,980863.2400000021
2675.0,0.0,15612.796019629193,987490.0400000022
2700.0,0.0,15797.523038894948,999756.4200000024
2725.0,0.0,15983.623322428193,1010120.7200000023
2750.0,0.0,16167.081904761877,1017178.1600000025
2775.0,0.0,16349.569581970161,1027679.6600000026
2800.0,0.0,16526.55119229371,1040177.3000000027
2825.0,0.0,16701.079694656506,1050341.7800000028
2850.0,0.0,16875.69076335878,1056715.660000003
2875.0,0.0,17051.189305707034,1069501.4800000028
2900.0,0.0,17227.7048782261,1082149.8400000029
2925.0,0.0,17409.21490367135,1091921.9600000035
2950.0,0.0,17594.060530716073,1098652.9400000034
2975.0,0.0,17779.099829152972,1105169.1400000034
3000.0,0.0,17967.02928026168,1120151.5000000035
3025.0,0.0,18155.206354053014,1128177.8600000036
3050.0,0.0,18345.17274082146,1140130.3800000034
3075.0,0.0,18535.17834605594,1156735.7400000035
3100.0,0.0,18721.19720465283,1169226.080000003
3125.0,0.0,18900.289211195915,1174738.4400000034
3150.0,0.0,19077.463678662316,1192686.9400000034
3175.0,0.0,19250.698440567045,1196828.0000000035
3200.0,0.0,19421.513387858933,1211710.7800000038
3225.0,0.0,19591.12251908396,1215025.7800000038
3250.0,0.0,19762.454729189394,1224097.6800000037
3275.0,0.0,19933.277826245005,1236032.4200000037
3300.0,0.0,20104.025005452553,1242197.4400000034
3325.0,0.0,20276.040890585264,1248625.0600000033
3350.0,0.0,20445.474242093802,1259472.7200000035
3375.0,0.0,20615.233315158148,1264183.1800000032
3400.0,0.0,20786.811904761915,1287346.9200000027
3425.0,0.0,20957.521254089435,1290562.6400000027
3450.0,0.0,21128.530381679368,1299635.280000003
3475.0,0.0,21299.97654307524,1316824.520000003
3500.0,0.0,21475.64423118866,1324826.8400000029
3525.0,0.0,21653.575023627778,1334703.1200000031
3550.0,0.0,21834.195150854222,1346034.9400000025
3575.0,0.0,22010.42745910577,1353580.1000000024
3600.0,0.0,22188.992864412936,1364361.7600000023
3625.0,0.0,22367.801054162133,1373568.1200000027
3650.0,0.0,22543.309963649597,1385658.5000000023
3675.0,0.0,22719.845045438033,1389592.780000002
3700.0,0.0,22892.679989094897,1410383.080000002
3725.0,0.0,23064.97755361688,1418207.940000002
3750.0,0.0,23238.889193020772,1423414.380000002
3775.0,0.0,23414.803987640877,1440005.7200000016
3800.0,0.0,23589.94748455109,1446178.0800000017
3825.0,0.0,23765.600141766656,1456078.1600000018
3850.0,0.0,23938.3124754635,1458837.560000002
3875.0,0.0,24108.28691748458,1462291.8400000017
3900.0,0.0,24279.858687749962,1477775.0600000017
3925.0,0.0,24451.882362777207,1486785.0200000012
3950.0,0.0,24622.915470738015,1499984.6400000008
3975.0,0.0,24792.474776445048,1520170.4600000004
4000.0,0.0,24957.18569974565,1527310.1000000003
4025.0,0.0,25124.98478735023,1537008.2400000002
4050.0,0.0,25297.18218829528,1543147.4400000002
4075.0,0.0,25468.206626681324,1553468.6
4100.0,0.0,25635.67657215564,1563087.9600000004
4125.0,0.0,25805.696561250348,1578202.0600000005
4150.0,0.0,25976.372886223122,1585040.2000000004
4175.0,0.0,26144.08581606678,1591290.5000000005
4200.0,0.0,26306.025023627688,1605432.6000000003
4225.0,0.0,26464.838840421566,1618883.14
4250.0,0.0,26625.09916030524,1626203.6199999996
4275.0,0.0,26787.065714285563,1638449.88
4300.0,0.0,26951.41221737537,1644358.12
4325.0,0.0,27117.804183933007,1649340.4
4350.0,0.0,27283.604925481548,1656927.48
4375.0,0.0,27448.933565975905,1666960.0199999996
4400.0,0.0,27614.776663031553,1678727.0199999989
4425.0,0.0,27782.351490367077,1686169.619999999
4450.0,0.0,27953.267517266362,1699509.0799999994
4475.0,0.0,28126.645917847964,1705649.7599999988
4500.0,0.0,28303.543238822167,1716556.4399999992
4525.0,0.0,28478.401286804707,1723731.419999999
